WKT,LINKID,FROMNODE,TONODE,LENGTH,ROADTYPE,ROADNO,SPEED,LANE,CODE,GID,DATE,REMARK,ITS_LINKID,HDUFID
"MULTILINESTRING ((471245.298 3965948.352,471245.027 3965946.832,471244.755 3965945.312,471244.46 3965943.655,471243.92 3965940.73,471243.384 3965937.813,471242.861 3965934.861,471242.775 3965934.377,471242.25 3965931.449,471241.935 3965929.718,471241.665 3965928.238,471241.395 3965926.758,471241.124 3965925.259,471240.593 3965922.322,471240.104 3965919.649,471239.571 3965916.704,471239.068 3965913.915,471238.53 3965910.965,471238.396 3965910.23,471237.864 3965907.288,471237.378 3965904.619,471236.841 3965901.669,471236.703 3965900.913,471236.171 3965897.975,471235.793 3965895.897))",155M0038LZ0104,155M00380104,155M00390104,5.30,1,,45,1,4,118,20181024,,,A3LI18AS000118
"MULTILINESTRING ((471242.399 3965949.049,471241.918 3965946.322,471241.528 3965944.139,471240.989 3965941.201,471240.891 3965940.665,471240.623 3965939.188,471240.354 3965937.711,471240.094 3965936.233,471239.834 3965934.756,471239.665 3965933.8,471239.126 3965930.861,471238.767 3965928.904,471238.235 3965925.96,471237.741 3965923.222,471237.204 3965920.283,471236.82 3965918.178,471236.283 3965915.229,471236.014 3965913.747,471235.747 3965912.269,471235.48 3965910.791,471234.945 3965907.843,471234.675 3965906.365,471234.406 3965904.888,471234.221 3965903.87,471233.765 3965901.386,471233.309 3965898.903,471232.853 3965896.419))",155M0038RZ0204,155M00380204,155M00390204,5.30,1,,45,2,4,119,20181024,,,A3LI18AS000119
"MULTILINESTRING ((471228.506 3965855.294,471228.209 3965853.718,471227.912 3965852.143,471227.38 3965849.224,471227.277 3965848.659,471227.012 3965847.178,471226.747 3965845.698,471226.48 3965844.201,471225.947 3965841.262,471225.881 3965840.896,471225.613 3965839.418,471225.344 3965837.941,471224.804 3965835.01,471224.583 3965833.823,471224.315 3965832.337,471224.047 3965830.851,471223.918 3965830.127,471223.393 3965827.189,471223.032 3965825.185,471222.489 3965822.253,471222.454 3965822.063,471221.919 3965819.125,471221.869 3965818.852,471221.353 3965815.914,471221.267 3965815.428,471220.734 3965812.48,471220.445 3965810.952))",155M0039LL0104,155M00400104,155M00410104,4.40,1,,45,1,4,120,20181024,,,A3LI18AS000120
"MULTILINESTRING ((471225.578 3965855.965,471225.301 3965854.384,471225.023 3965852.803,471224.922 3965852.232,471224.639 3965850.695,471224.355 3965849.157,471223.824 3965846.211,471223.336 3965843.51,471223.072 3965842.033,471222.808 3965840.556,471222.544 3965839.079,471222.28 3965837.601,471221.731 3965834.653,471221.53 3965833.576,471221.0 3965830.628,471220.873 3965829.919,471220.343 3965826.987,471220.283 3965826.653,471220.013 3965825.167,471219.586 3965822.815,471219.158 3965820.463,471219.109 3965820.189,471218.581 3965817.246,471218.474 3965816.648,471217.944 3965813.705,471217.567 3965811.577))",155M0039ZZ0204,155M00400204,155M00410204,4.40,1,,45,2,4,121,20181024,,,A3LI18AS000121
"MULTILINESTRING ((471215.127 3965781.555,471214.597 3965778.613,471214.335 3965777.135,471214.073 3965775.658,471213.547 3965772.715,471213.277 3965771.239,471213.007 3965769.763,471212.737 3965768.284,471212.466 3965766.806,471212.198 3965765.33,471211.929 3965763.853,471211.662 3965762.373,471211.394 3965760.893,471211.129 3965759.416,471210.865 3965757.939,471210.333 3965754.991,471209.8 3965752.042,471209.649 3965751.211,471209.381 3965749.735,471209.113 3965748.259,471208.968 3965747.463,471208.699 3965745.985,471208.429 3965744.507,471208.245 3965743.494,471207.71 3965740.552,471207.348 3965738.556,471206.822 3965735.609,471206.554 3965734.133,471206.286 3965732.657,471206.02 3965731.18,471205.753 3965729.703,471205.579 3965728.74,471205.057 3965725.803,471204.986 3965725.403,471204.456 3965722.461,471204.115 3965720.576,471203.841 3965719.101,471203.567 3965717.625,471203.398 3965716.738))",155M0040LL0104,155M00420104,155M00430104,6.50,1,,45,1,4,122,20181024,,,A3LI18AS000122
"MULTILINESTRING ((471212.21 3965782.071,471211.678 3965779.127,471211.281 3965776.919,471210.754 3965773.984,471210.691 3965773.634,471210.153 3965770.69,471209.744 3965768.451,471209.21 3965765.517,471208.675 3965762.592,471208.145 3965759.648,471207.731 3965757.34,471207.196 3965754.389,471206.9 3965752.745,471206.366 3965749.806,471206.096 3965748.326,471205.826 3965746.846,471205.291 3965743.898,471205.004 3965742.316,471204.737 3965740.839,471204.47 3965739.363,471204.205 3965737.886,471203.94 3965736.409,471203.671 3965734.932,471203.403 3965733.456,471203.137 3965731.975,471202.871 3965730.494,471202.687 3965729.468,471202.168 3965726.522,471202.063 3965725.934,471201.526 3965722.984,471201.261 3965721.527,471200.988 3965720.052,471200.714 3965718.576,471200.487 3965717.322))",155M0040RZ0204,155M00420204,155M00430204,6.50,1,,45,2,4,123,20181024,,,A3LI18AS000123
"MULTILINESTRING ((471223.3 3965806.974,471223.584 3965808.515,471223.868 3965810.056,471224.361 3965812.828,471224.898 3965815.758,471224.993 3965816.272,471225.26 3965817.75,471225.527 3965819.228,471225.78 3965820.634,471226.316 3965823.576,471226.717 3965825.786,471227.251 3965828.735,471227.379 3965829.437,471227.914 3965832.371,471227.955 3965832.605,471228.473 3965835.559,471229.008 3965838.489,471229.281 3965839.965,471229.553 3965841.441,471229.823 3965842.922,471230.092 3965844.403,471230.361 3965845.881,471230.63 3965847.359,471230.897 3965848.836,471231.165 3965850.313,471231.359 3965851.357))",155M0042LL0104,155M00460104,155M00470104,4.40,1,,45,1,4,124,20181024,,,A3LI18AS000124
"MULTILINESTRING ((471226.197 3965806.336,471226.484 3965807.887,471226.771 3965809.437,471227.137 3965811.411,471227.405 3965812.92,471227.673 3965814.429,471228.043 3965816.474,471228.412 3965818.52,471228.782 3965820.565,471229.131 3965822.485,471229.663 3965825.428,471230.191 3965828.355,471230.728 3965831.293,471230.836 3965831.883,471231.356 3965834.829,471231.459 3965835.41,471232.0 3965838.352,471232.506 3965841.097,471233.043 3965844.046,471233.315 3965845.542,471233.847 3965848.484,471234.239 3965850.654))",155M0042RZ0204,155M00460204,155M00470204,4.40,1,,45,2,4,125,20181024,,,A3LI18AS000125
"MULTILINESTRING ((471238.716 3965892.07,471239.236 3965894.961,471239.73 3965897.704,471240.0 3965899.184,471240.269 3965900.663,471240.805 3965903.614,471241.026 3965904.828,471241.561 3965907.778,471241.861 3965909.442,471242.393 3965912.383,471242.742 3965914.31,471243.272 3965917.252,471243.69 3965919.577,471244.219 3965922.515,471244.599 3965924.624,471245.142 3965927.561,471245.241 3965928.101,471245.506 3965929.579,471245.77 3965931.056,471246.296 3965934.006,471246.56 3965935.483,471246.823 3965936.959,471247.04 3965938.176,471247.305 3965939.653,471247.571 3965941.131,471247.73 3965942.018,471248.264 3965944.969,471248.716 3965947.423))",155M0043ZZ0104,155M00480104,155M00490104,5.60,1,,45,1,4,126,20181024,,,A3LI18AS000126
"MULTILINESTRING ((471241.661 3965891.615,471242.185 3965894.56,471242.673 3965897.274,471243.161 3965899.988,471243.697 3965902.927,471243.966 3965904.403,471244.235 3965905.88,471244.502 3965907.359,471244.77 3965908.838,471245.037 3965910.314,471245.305 3965911.79,471245.572 3965913.267,471245.838 3965914.745,471246.105 3965916.221,471246.372 3965917.697,471246.558 3965918.729,471247.097 3965921.675,471247.221 3965922.358,471247.756 3965925.295,471247.849 3965925.807,471248.371 3965928.753,471248.684 3965930.525,471249.217 3965933.463,471249.486 3965934.944,471249.755 3965936.424,471250.018 3965937.901,471250.282 3965939.378,471250.495 3965940.574,471251.062 3965943.501,471251.628 3965946.429,471251.709 3965946.847))",155M0043RZ0204,155M00480204,155M00490204,5.10,1,,45,2,4,127,20181024,,,A3LI18AS000127
